Date,Narration,Chq./Ref.No.,Value Dt,Withdrawal Amt.,Deposit Amt.,Closing Balance
01/05/26,UPI-BIGBASKET-bbdaily@icici-472731,73682,01/05/26,858.45,,"14,141.55"
01/05/26,UPI-9876543210@ybl-PAYMENT FROM PHONE-717740,73682,01/05/26,365.23,,"13,776.32"
01/05/26,NEFT-ACME SOFTWARE PVT LTD-SALARY CREDIT,73682,01/05/26,,"46,000.00","59,776.32"
02/05/26,UPI-SWIGGY-swiggy@icici-661913-ORDER,143682,02/05/26,184.05,,"59,592.27"
02/05/26,UPI-SWIGGY-swiggy@icici-229815-ORDER,143682,02/05/26,538.62,,"59,053.65"
02/05/26,UPI-ZOMATO ONLINE-zomato@hdfcbank-239643,143682,02/05/26,393.80,,"58,659.85"
02/05/26,UPI-RAPIDO BIKE-rapido@paytm-181390,143682,02/05/26,136.01,,"58,523.84"
02/05/26,UPI-SANDEEP PATIL-sandeep1987@oksbi-HOUSE RENT,143682,02/05/26,"8,500.00",,"50,023.84"
03/05/26,UPI-SWIGGY-swiggy@icici-173248-ORDER,213682,03/05/26,353.81,,"49,670.03"
03/05/26,UPI-UBER INDIA-uber@axisbank-650708,213682,03/05/26,305.51,,"49,364.52"
03/05/26,POS 4532XXXX8821 INDIANOIL PETROL PUMP,213682,03/05/26,866.81,,"48,497.71"
03/05/26,UPI-AMAZON PAY INDIA-amazon@apl-521154,213682,03/05/26,657.78,,"47,839.93"
03/05/26,UPI-CULT FITNESS GYM-cultfit@ybl-AUTOPAY,213682,03/05/26,"1,200.00",,"46,639.93"
04/05/26,UPI-SWIGGY-swiggy@icici-160816-ORDER,283682,04/05/26,321.87,,"46,318.06"
04/05/26,UPI-ZOMATO ONLINE-zomato@hdfcbank-687472,283682,04/05/26,399.78,,"45,918.28"
04/05/26,UPI-OLA CABS-olacabs@ybl-272975,283682,04/05/26,228.94,,"45,689.34"
04/05/26,UPI-NETFLIX ENTERTAINMENT-netflix@hdfcbank-AUTOPAY,283682,04/05/26,649.00,,"45,040.34"
05/05/26,UPI-RAPIDO BIKE-rapido@paytm-542182,353682,05/05/26,132.99,,"44,907.35"
05/05/26,UPI-ACT FIBERNET BROADBAND-act@icici,353682,05/05/26,799.00,,"44,108.35"
06/05/26,UPI-UBER INDIA-uber@axisbank-355953,423682,06/05/26,356.59,,"43,751.76"
06/05/26,UPI-BIGBASKET-bbdaily@icici-617674,423682,06/05/26,627.64,,"43,124.12"
06/05/26,UPI-MYNTRA DESIGNS-myntra@ybl-790504,423682,06/05/26,751.30,,"42,372.82"
